ID;Математика;Информатика;Русский;Физика;Сумма баллов;Бюджет/платное;Укажите средний балл аттестата о среднем полном общем образовании (за 11 класс).;Оценка по математике:;Оценка по информатике:;Оценка по физике:;Населенный пункт;Школа;Принимали ли Вы участие в олимпиадах по математике или информатике за период с 8 класса по настоящее время?;Количество олимпиад;Количество олимпиад математика;Количество олимпиадинформатика;Количество олимпиадфизика;Если принимали, то укажите информацию об этих олимпиадах:;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в общеобразовательной школе;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в физико-математической школе;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в математическом классе (физико-математическом классе);Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение в ЗЕНШ СФУ (НГУ, ТГУ и т.д.);Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / занятия в математическом кружке;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / обучение на дополнительных курсах по подготовке к ЕГЭ;Отметьте факты, которые отражают Вашу подготовку для поступления в ВУЗ: / занятия с репетитором;В какие вузы (не более трёх) Вы планировали поступать?;Какие направления были приоритетными при поступлении в вуз?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378599497;55;90;46;;191;бюджет;4.2;5;5;4;Киргизия, Иссык-Кульская, обл, с.. Теплоключенка;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;обучение в математическом классе (физико-математическом классе);;;;;УРФУ, СПБГУ, СФУ;программная инженерия, инженерия искусственного интеллекта, математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378598675;84;83;91;;258;бюджет;4.6;4;5;5;Тюменская, обл, г. Тюмень;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;обучение в математическом классе (физико-математическом классе);;;;занятия с репетитором;ТюмГУ, СФУ, Санкт-Петербургский политехнический;Математика и компьютерные науки, прикладная математика и информатика, информационная безопасность;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378594888;62;70;64;;196;бюджет;4,7;4;5;4;Республика Тыва, г. Кызыл;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;;ТувГУ, ДВГУ, НГУ;Информатика, физика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386958454;74;79;82;;235;бюджет;5;5;5;5;Красноярский, край, г. Сосновоборск;;Да;1;1;0;0;???;обучение в общеобразовательной школе;;обучение в математическом классе (физико-математическом классе);;;;;СФУ;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386882670;70;-;60;70;200;бюджет;4,5;4;4;5;Республика Тыва, с. Эрзин;;Нет;0;0;0;0;;;;обучение в математическом классе (физико-математическом классе);;;;;СФУ, ТГУ;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386873854;74;75;65;;214;бюджет;4,3;5;4;4;Иркутская, обл, г. Иркутск;;Нет;0;0;0;0;;;;;;;обучение на дополнительных курсах по подготовке к ЕГЭ;;"Нгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
СфуНгу_x000D_
Игу_x000D_
Сфу";Прикладная математика и информатика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386866605;56;60;60;;176;бюджет;3.8;3;4;3;Красноярский, край, г. Ачинск;;Да;2;2;0;1;районная, математика;обучение в общеобразовательной школе;;;;;;;СФУ, Аэрокосмический.;СФУ мне больше понравился, вот и всё!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1386862319;78;84;87;;249;бюджет;5;5;5;5;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;;обучение в физико-математической школе;;;;;;Сибирский федеральный университет, Томский государственный университете, Новосибирский государственный университет;Прикладная математика, математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1381539269;72;88;80;;240;бюджет;5,0;5;5;5;Красноярский, край, г. Красноярск;;Нет;0;0;0;0;;обучение в общеобразовательной школе;;;;;;;ИМиФИ, ИКИТ;Прикладная математика и информатика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378937387;60;62;68;;190;платное;4,8;4;5;5;Красноярский, край, д. Скоробогатово;;Да;2;0;2;0;районная, информатика, призер;обучение в общеобразовательной школе;;;;;;занятия с репетитором;СФУ;Бизнес информатика, прикладная математика и информатика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
